SCODE,SDATE,CNEW,CRECOV,CPASSED
ap,2022-01-01,95,84,1
ap,2022-01-02,20,16,6
ap,2022-01-03,88,19,9
ap,2022-01-04,41,45,5
ap,2022-01-05,32,39,4
ap,2022-01-06,63,48,5
ap,2022-01-07,24,100,2
ap,2022-01-08,18,18,4
ap,2022-01-09,84,23,5
ap,2022-01-10,33,87,2
ap,2022-01-11,97,27,10
ap,2022-01-12,60,75,2
ap,2022-01-13,19,58,1
ap,2022-01-14,6,82,6
ap,2022-01-15,36,18,1
tn,2022-01-01,77,68,9
tn,2022-01-02,69,38,8
tn,2022-01-03,38,21,3
tn,2022-01-04,7,32,5
tn,2022-01-05,64,67,2
tn,2022-01-06,53,58,3
tn,2022-01-07,7,28,2
tn,2022-01-08,46,40,6
tn,2022-01-09,51,19,6
tn,2022-01-10,37,49,5
tn,2022-01-11,73,38,7
tn,2022-01-12,64,99,9
tn,2022-01-13,87,36,9
tn,2022-01-14,3,7,1
tn,2022-01-15,2,86,7
up,2022-01-01,61,98,4
up,2022-01-02,67,20,3
up,2022-01-03,86,91,2
up,2022-01-04,82,84,1
up,2022-01-05,22,9,9
up,2022-01-06,61,22,3
up,2022-01-07,53,75,10
up,2022-01-08,56,66,9
up,2022-01-09,84,54,3
up,2022-01-10,4,86,8
up,2022-01-11,22,73,4
up,2022-01-12,38,54,5
up,2022-01-13,67,82,6
up,2022-01-14,94,93,8
up,2022-01-15,5,83,6
